Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55156 connected to 10.0.0.2 port 5566
[ 24] 165.01-166.00 sec  2.50 MBytes  21.2 Mbits/sec    0   1.55 MBytes       
[ 24] 166.00-167.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.66 MBytes       
[ 24] 167.00-168.00 sec  5.00 MBytes  42.0 Mbits/sec    0   1.80 MBytes       
[ 24] 168.00-169.00 sec  2.50 MBytes  20.9 Mbits/sec    0   1.95 MBytes       
[ 24] 169.00-170.00 sec  5.00 MBytes  42.0 Mbits/sec    0   2.17 MBytes       
[ 24] 170.00-171.00 sec  1.25 MBytes  10.5 Mbits/sec    0   2.32 MBytes       
[ 24] 171.00-172.00 sec  2.50 MBytes  21.0 Mbits/sec  149   1.75 MBytes       
[ 24] 172.00-173.00 sec  7.50 MBytes  63.0 Mbits/sec    0   1.92 MBytes       
[ 24] 173.00-174.08 sec  3.75 MBytes  29.2 Mbits/sec    0   2.06 MBytes       
[ 24] 174.08-175.00 sec  2.50 MBytes  22.7 Mbits/sec    0   2.17 MBytes       
[ 24] 175.00-176.01 sec  3.75 MBytes  31.2 Mbits/sec    0   2.29 MBytes       
[ 24] 176.01-177.00 sec  1.25 MBytes  10.6 Mbits/sec    0   2.34 MBytes       
[ 24] 177.00-178.01 sec  6.25 MBytes  51.9 Mbits/sec  197   1.65 MBytes       
[ 24] 178.01-179.00 sec  1.25 MBytes  10.6 Mbits/sec    0   1.72 MBytes       
[ 24] 179.00-180.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.81 MBytes       
[ 24] 180.00-181.01 sec  3.75 MBytes  31.2 Mbits/sec    0   1.86 MBytes       
[ 24] 181.01-182.00 sec  1.25 MBytes  10.6 Mbits/sec    0   1.86 MBytes       
[ 24] 182.00-183.00 sec  1.25 MBytes  10.5 Mbits/sec  196   1.27 MBytes       
[ 24] 183.00-184.00 sec  0.00 Bytes  0.00 bits/sec    0   1.25 MBytes       
[ 24] 184.00-185.00 sec  1.25 MBytes  10.5 Mbits/sec    0    570 KBytes       
[ 24] 185.00-186.00 sec  0.00 Bytes  0.00 bits/sec   12   1.19 MBytes       
[ 24] 186.00-187.06 sec  3.75 MBytes  29.7 Mbits/sec    0    967 KBytes       
[ 24] 187.06-188.00 sec  2.50 MBytes  22.3 Mbits/sec    0   1.02 MBytes       
[ 24] 188.00-189.02 sec  2.50 MBytes  20.7 Mbits/sec    0   1.06 MBytes       
[ 24] 189.02-190.00 sec  1.25 MBytes  10.7 Mbits/sec    0   1.10 MBytes       
[ 24] 190.00-191.06 sec  1.25 MBytes  9.86 Mbits/sec    0   1.12 MBytes       
[ 24] 191.06-192.00 sec  2.50 MBytes  22.4 Mbits/sec    0   1.13 MBytes       
[ 24] 192.00-193.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.14 MBytes       
[ 24] 193.00-194.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.14 MBytes       
[ 24] 194.00-195.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.14 MBytes       
[ 24] 195.00-196.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.14 MBytes       
[ 24] 196.00-197.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.15 MBytes       
[ 24] 197.00-198.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.17 MBytes       
[ 24] 198.00-199.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.21 MBytes       
[ 24] 199.00-200.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.25 MBytes       
[ 24] 200.00-201.08 sec  1.25 MBytes  9.75 Mbits/sec    0   1.33 MBytes       
[ 24] 201.08-202.00 sec  2.50 MBytes  22.7 Mbits/sec    0   1.44 MBytes       
[ 24] 202.00-203.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.56 MBytes       
[ 24] 203.00-204.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.71 MBytes       
[ 24] 204.00-205.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.76 MBytes       
[ 24] 205.00-206.00 sec  1.25 MBytes  10.5 Mbits/sec  108   1.47 MBytes       
[ 24] 206.00-207.00 sec  0.00 Bytes  0.00 bits/sec    0   1.16 MBytes       
[ 24] 207.00-208.00 sec  0.00 Bytes  0.00 bits/sec    0   1.05 MBytes       
[ 24] 208.00-209.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.25 MBytes       
[ 24] 209.00-210.10 sec  2.50 MBytes  19.1 Mbits/sec    0   1.36 MBytes       
[ 24] 210.10-211.00 sec  2.50 MBytes  23.2 Mbits/sec    0   1.43 MBytes       
[ 24] 211.00-212.00 sec  2.50 MBytes  20.9 Mbits/sec    0   1.55 MBytes       
[ 24] 212.00-213.13 sec  2.50 MBytes  18.6 Mbits/sec    0   1.64 MBytes       
[ 24] 213.13-214.00 sec  2.50 MBytes  24.1 Mbits/sec    0   1.70 MBytes       
[ 24] 214.00-215.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.74 MBytes       
[ 24] 215.00-216.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.76 MBytes       
[ 24] 216.00-217.00 sec  3.75 MBytes  31.4 Mbits/sec  155   1.27 MBytes       
[ 24] 217.00-218.00 sec  2.50 MBytes  20.9 Mbits/sec    0   1.35 MBytes       
[ 24] 218.00-219.00 sec  3.75 MBytes  31.6 Mbits/sec    0   1.41 MBytes       
[ 24] 219.00-220.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.44 MBytes       
[ 24] 220.00-221.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[ 24] 221.00-222.00 sec  2.50 MBytes  20.9 Mbits/sec    0   1.49 MBytes       
[ 24] 222.00-223.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.50 MBytes       
[ 24] 223.00-224.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.50 MBytes       
[ 24] 224.00-225.01 sec  2.50 MBytes  20.8 Mbits/sec    0   1.50 MBytes       
[ 24] 225.01-226.00 sec  2.50 MBytes  21.2 Mbits/sec    0   1.50 MBytes       
[ 24] 226.00-227.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.51 MBytes       
[ 24] 227.00-228.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.52 MBytes       
[ 24] 228.00-229.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.55 MBytes       
[ 24] 229.00-230.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.58 MBytes       
[ 24] 230.00-231.00 sec  5.00 MBytes  41.9 Mbits/sec    6   1.20 MBytes       
[ 24] 231.00-232.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[ 24] 232.00-233.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.37 MBytes       
[ 24] 233.00-234.06 sec  3.75 MBytes  29.9 Mbits/sec    0   1.46 MBytes       
[ 24] 234.06-235.00 sec  1.25 MBytes  11.1 Mbits/sec    0   1.50 MBytes       
[ 24] 235.00-236.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.54 MBytes       
[ 24] 236.00-237.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.57 MBytes       
[ 24] 237.00-238.13 sec  2.50 MBytes  18.6 Mbits/sec    0   1.58 MBytes       
[ 24] 238.13-239.00 sec  2.50 MBytes  24.1 Mbits/sec    0   1.59 MBytes       
[ 24] 239.00-240.00 sec  2.50 MBytes  20.9 Mbits/sec    0   1.59 MBytes       
[ 24] 240.00-241.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.59 MBytes       
[ 24] 241.00-242.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.60 MBytes       
[ 24] 242.00-243.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.61 MBytes       
[ 24] 243.00-244.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.62 MBytes       
[ 24] 244.00-245.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.66 MBytes       
[ 24] 245.00-246.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.69 MBytes       
[ 24] 246.00-247.00 sec  3.75 MBytes  31.4 Mbits/sec    0   1.75 MBytes       
[ 24] 247.00-248.00 sec  3.75 MBytes  31.4 Mbits/sec    0   1.85 MBytes       
[ 24] 248.00-249.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.95 MBytes       
[ 24] 249.00-250.00 sec  3.75 MBytes  31.5 Mbits/sec    0   2.11 MBytes       
[ 24] 250.00-251.00 sec  5.00 MBytes  42.0 Mbits/sec    0   2.28 MBytes       
[ 24] 251.00-252.00 sec  5.00 MBytes  41.9 Mbits/sec    0   2.49 MBytes       
[ 24] 252.00-253.00 sec  3.75 MBytes  31.4 Mbits/sec    0   2.70 MBytes       
[ 24] 253.00-254.00 sec  7.50 MBytes  62.9 Mbits/sec    0   3.03 MBytes       
[ 24] 254.00-255.00 sec  5.00 MBytes  41.8 Mbits/sec    0   3.33 MBytes       
[ 24] 255.00-256.00 sec  7.50 MBytes  63.0 Mbits/sec    0   3.70 MBytes       
[ 24] 256.00-257.13 sec  3.75 MBytes  27.9 Mbits/sec    0   3.85 MBytes       
[ 24] 257.13-258.00 sec  8.75 MBytes  84.2 Mbits/sec    0   4.48 MBytes       
[ 24] 258.00-259.00 sec  3.75 MBytes  31.4 Mbits/sec    0   4.91 MBytes       
[ 24] 259.00-260.00 sec  6.25 MBytes  52.5 Mbits/sec  329   4.79 MBytes       
[ 24] 260.00-261.00 sec  7.50 MBytes  62.9 Mbits/sec  237   3.87 MBytes       
[ 24] 261.00-262.00 sec  3.75 MBytes  31.4 Mbits/sec    0   4.01 MBytes       
[ 24] 262.00-263.00 sec  3.75 MBytes  31.5 Mbits/sec    0   4.28 MBytes       
[ 24] 263.00-264.00 sec  6.25 MBytes  52.4 Mbits/sec  564   3.03 MBytes       
[ 24] 264.00-265.17 sec  5.00 MBytes  35.9 Mbits/sec    0   3.11 MBytes       
[ 24] 265.17-266.00 sec  3.75 MBytes  37.8 Mbits/sec    0   3.26 MBytes       
[ 24] 266.00-267.00 sec  3.75 MBytes  31.4 Mbits/sec    0   3.35 MBytes       
[ 24] 267.00-268.00 sec  6.25 MBytes  52.4 Mbits/sec    0   3.48 MBytes       
[ 24] 268.00-269.00 sec  5.00 MBytes  41.9 Mbits/sec    0   3.54 MBytes       
[ 24] 269.00-270.33 sec  5.00 MBytes  31.6 Mbits/sec    0   3.59 MBytes       
[ 24] 270.33-271.00 sec  3.75 MBytes  46.8 Mbits/sec    0   3.63 MBytes       
[ 24] 271.00-272.13 sec  3.75 MBytes  27.9 Mbits/sec    0   3.65 MBytes       
[ 24] 272.13-273.00 sec  5.00 MBytes  47.9 Mbits/sec    0   3.67 MBytes       
[ 24] 273.00-274.00 sec  7.50 MBytes  63.1 Mbits/sec    0   3.68 MBytes       
[ 24] 274.00-275.00 sec  6.25 MBytes  52.4 Mbits/sec    0   3.68 MBytes       
[ 24] 275.00-276.00 sec  6.25 MBytes  52.4 Mbits/sec    0   3.68 MBytes       
[ 24] 276.00-277.00 sec  6.25 MBytes  52.5 Mbits/sec    0   3.68 MBytes       
[ 24] 277.00-278.08 sec  7.50 MBytes  58.5 Mbits/sec    0   3.70 MBytes       
[ 24] 278.08-279.00 sec  5.00 MBytes  45.4 Mbits/sec    0   3.71 MBytes       
