Connecting to host 10.0.0.2, port 5566
[  7] local 10.0.0.4 port 33742 connected to 10.0.0.2 port 5566
[  7] 145.01-146.01 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 146.01-147.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 147.00-148.00 sec   382 KBytes  3.14 Mbits/sec    0   99.0 KBytes       
[  7] 148.00-149.00 sec   445 KBytes  3.65 Mbits/sec    0   99.0 KBytes       
[  7] 149.00-150.00 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 150.00-151.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 151.01-152.01 sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7] 152.01-153.00 sec   191 KBytes  1.57 Mbits/sec    0   99.0 KBytes       
[  7] 153.00-154.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 154.00-155.00 sec   382 KBytes  3.14 Mbits/sec    0   99.0 KBytes       
[  7] 155.00-156.00 sec   382 KBytes  3.13 Mbits/sec    0   99.0 KBytes       
[  7] 156.00-157.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 157.00-158.01 sec   445 KBytes  3.62 Mbits/sec    0   99.0 KBytes       
[  7] 158.01-159.01 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 159.01-160.01 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 160.01-161.01 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 161.01-162.00 sec   191 KBytes  1.57 Mbits/sec    0   99.0 KBytes       
[  7] 162.00-163.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 163.00-164.01 sec   255 KBytes  2.08 Mbits/sec    0   99.0 KBytes       
[  7] 164.01-165.01 sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7] 165.01-166.00 sec   382 KBytes  3.16 Mbits/sec    0   99.0 KBytes       
[  7] 166.00-167.01 sec   191 KBytes  1.55 Mbits/sec    0   99.0 KBytes       
[  7] 167.01-168.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 168.00-169.01 sec   445 KBytes  3.63 Mbits/sec    0   99.0 KBytes       
[  7] 169.01-170.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 170.01-171.00 sec   382 KBytes  3.14 Mbits/sec    0   99.0 KBytes       
[  7] 171.00-172.00 sec   445 KBytes  3.65 Mbits/sec    0   99.0 KBytes       
